Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
336,fr,diff,4700.33237150003,0.7188440000172704,12345,4000.0,0.5,8000.0,0.5,0.9
337,fr,diff,4703.328976300021,0.7390820999862626,12345,4000.0,0.5,4000.0,0.5,0.9
338,fr,diff,4710.333376200055,0.612125699990429,12345,4000.0,0.5,8000.0,0.5,0.9
339,fr,diff,4713.219237200043,0.5487009999924339,12345,4000.0,0.5,8000.0,0.5,0.9
340,fr,diff,4716.058161700028,1.4485649000271223,12345,4000.0,0.5,4000.0,0.5,0.9
341,fr,same,4723.7966858000145,1.0325907000224106,12345,4000.0,0.5,4000.0,0.5,0.9
342,fr,same,4727.096886900021,0.7393992000143044,12345,4000.0,0.5,4000.0,0.5,0.9
343,fr,same,4730.12583580002,0.7314002999919467,12345,4000.0,0.5,8000.0,0.5,0.9
344,fr,same,4737.17811170005,0.7193042999715544,12345,4000.0,0.5,8000.0,0.5,0.9
345,fr,same,4744.183890900051,0.7740448999684304,12345,4000.0,0.5,4000.0,0.5,0.9
346,fr,same,4747.215171800053,0.7802156999823637,12345,4000.0,0.5,4000.0,0.5,0.9
347,fr,same,4750.250116800016,0.6783350000041537,12345,4000.0,0.5,8000.0,0.5,0.9
348,fr,same,4757.21573950001,0.7801439000177197,12345,4000.0,0.5,4000.0,0.5,0.9
349,fr,same,4760.250059900049,0.7394019999774173,12345,4000.0,0.5,8000.0,0.5,0.9
350,fr,diff,4767.2491738000535,0.00017139996634796262,12345,4000.0,0.5,4000.0,0.5,0.9
351,fr,diff,4773.515762000054,0.8266068999655545,12345,4000.0,0.5,8000.0,0.5,0.9
352,fr,diff,4776.626120100031,0.6686742000165395,12345,4000.0,0.5,8000.0,0.5,0.9
353,fr,same,4779.563588700024,1.3396470000152476,12345,4000.0,0.5,4000.0,0.5,0.9
354,fr,diff,4783.17602720001,0.6783981000189669,12345,4000.0,0.5,4000.0,0.5,0.9
355,fr,diff,4790.1378155000275,0.6379492999985814,12345,4000.0,0.5,8000.0,0.5,0.9
356,fr,diff,4793.055452600005,0.6505213000345975,12345,4000.0,0.5,8000.0,0.5,0.9
357,fr,diff,4795.976799400058,0.5670070999767631,12345,4000.0,0.5,4000.0,0.5,0.9
358,fr,diff,4802.7986728000105,1.1654297999921255,12345,4000.0,0.5,4000.0,0.5,0.9
359,fr,diff,4810.2158112000325,0.831276600016281,12345,4000.0,0.5,8000.0,0.5,0.9
360,fr,diff,4813.299517300038,0.6192940999753773,12345,4000.0,0.5,8000.0,0.5,0.9
361,fr,diff,4816.20154160005,0.7597018999513239,12345,4000.0,0.5,4000.0,0.5,0.9
362,fr,diff,4823.216574900027,0.6194964000023901,12345,4000.0,0.5,8000.0,0.5,0.9
363,fr,diff,4826.095132700051,0.6802375999977812,12345,4000.0,0.5,8000.0,0.5,0.9
364,fr,diff,4829.058112700004,0.7712463000207208,12345,4000.0,0.5,4000.0,0.5,0.9
365,fr,diff,4836.083004000015,0.6298268000246026,12345,4000.0,0.5,4000.0,0.5,0.9
366,fr,diff,4842.980965900002,0.6817210000008345,12345,4000.0,0.5,8000.0,0.5,0.9
367,fr,diff,4845.936920500011,0.7499654000275768,12345,4000.0,0.5,4000.0,0.5,0.9
368,fr,diff,4852.976065700001,0.7308756000129506,12345,4000.0,0.5,8000.0,0.5,0.9
369,fr,diff,4855.989530800027,0.5265585000161082,12345,4000.0,0.5,8000.0,0.5,0.9
370,fr,same,4858.787980800029,0.8706048000021838,12345,4000.0,0.5,4000.0,0.5,0.9
371,fr,diff,4861.927221200021,0.6594137999927625,12345,4000.0,0.5,4000.0,0.5,0.9
372,fr,diff,4868.855469800008,0.6685394000378437,12345,4000.0,0.5,4000.0,0.5,0.9
373,fr,diff,4875.838946800039,0.75389069999801,12345,4000.0,0.5,8000.0,0.5,0.9
374,fr,diff,4878.871416000009,7.952419500041287,12345,4000.0,0.5,4000.0,0.5,0.9
375,fr,diff,4893.096971800027,2.217259800003376,12345,4000.0,0.5,8000.0,0.5,0.9
376,fr,diff,4897.566936600022,1.0021214000298642,12345,4000.0,0.5,8000.0,0.5,0.9
377,fr,same,4900.852332000039,0.8015302999992855,12345,4000.0,0.5,4000.0,0.5,0.9
378,fr,diff,4903.919453700015,0.5772301999968477,12345,4000.0,0.5,8000.0,0.5,0.9
379,fr,diff,4906.751153300051,0.5569223999627866,12345,4000.0,0.5,8000.0,0.5,0.9
380,fr,diff,4909.6072009000345,0.6005197999766096,12345,4000.0,0.5,4000.0,0.5,0.9
381,fr,diff,4916.550458300044,0.6485182999749668,12345,4000.0,0.5,4000.0,0.5,0.9
382,fr,same,4923.451475900016,1.4899709000019357,12345,4000.0,0.5,4000.0,0.5,0.9
383,fr,same,4927.209576900001,0.8406228000530973,12345,4000.0,0.5,8000.0,0.5,0.9
384,fr,same,4934.321140300017,0.981925800035242,12345,4000.0,0.5,4000.0,0.5,0.9
385,fr,same,4937.554473400058,1.1755060999421403,12345,4000.0,0.5,8000.0,0.5,0.9
386,fr,diff,4944.987494300003,0.5694443000247702,12345,4000.0,0.5,8000.0,0.5,0.9
387,fr,diff,4947.8782794,6.617571600014344,12345,4000.0,0.5,8000.0,0.5,0.9
388,fr,same,4956.751968000026,1.6619463000097312,12345,4000.0,0.5,4000.0,0.5,0.9
389,fr,same,4960.715470400057,1.328987299988512,12345,4000.0,0.5,4000.0,0.5,0.9
390,fr,diff,4964.3308994000545,0.5770361999748275,12345,4000.0,0.5,8000.0,0.5,0.9
391,fr,same,4967.214468500053,0.7703760999720544,12345,4000.0,0.5,4000.0,0.5,0.9
392,fr,same,4970.253580000019,0.7599429999827407,12345,4000.0,0.5,4000.0,0.5,0.9
393,fr,same,4973.284876300022,0.7190351000172086,12345,4000.0,0.5,4000.0,0.5,0.9
394,fr,same,4976.299898600031,0.6794885999988765,12345,4000.0,0.5,8000.0,0.5,0.9
395,fr,same,4983.294912600017,0.5791161000379361,12345,4000.0,0.5,8000.0,0.5,0.9
396,fr,diff,4990.153785500035,0.5570272000040859,12345,4000.0,0.5,8000.0,0.5,0.9
397,fr,diff,4992.9888487000135,0.7598948000231758,12345,4000.0,0.5,8000.0,0.5,0.9
398,fr,diff,4996.017275200051,0.6520329999621026,12345,4000.0,0.5,8000.0,0.5,0.9
399,fr,same,4998.971607500047,0.8110230999882333,12345,4000.0,0.5,4000.0,0.5,0.9
400,fr,same,5002.09818760003,1.3687145999865606,12345,4000.0,0.5,4000.0,0.5,0.9
401,fr,same,5005.76078110002,0.7101236000307836,12345,4000.0,0.5,4000.0,0.5,0.9
402,fr,same,5008.744798600033,0.7212621999788098,12345,4000.0,0.5,8000.0,0.5,0.9
403,fr,same,5015.720005400013,3.5225650999927893,12345,4000.0,0.5,4000.0,0.5,0.9
404,fr,same,5021.501691500016,0.6481295999838039,12345,4000.0,0.5,8000.0,0.5,0.9
405,fr,diff,5028.406100000022,0.5773124999832362,12345,4000.0,0.5,4000.0,0.5,0.9
406,fr,diff,5035.296881300048,0.7617782999877818,12345,4000.0,0.5,8000.0,0.5,0.9
407,fr,diff,5038.328136800032,0.6275497999740764,12345,4000.0,0.5,4000.0,0.5,0.9
408,fr,diff,5045.255100400012,0.5674251000164077,12345,4000.0,0.5,8000.0,0.5,0.9
409,fr,same,5048.085551900032,0.7997279000119306,12345,4000.0,0.5,4000.0,0.5,0.9
410,fr,same,5051.140609900001,0.7208835000055842,12345,4000.0,0.5,8000.0,0.5,0.9
411,fr,diff,5058.12180600001,0.6179905000026338,12345,4000.0,0.5,4000.0,0.5,0.9
412,fr,diff,5065.003671400016,0.6407626000000164,12345,4000.0,0.5,4000.0,0.5,0.9
413,fr,diff,5071.911990700057,0.6074268999509513,12345,4000.0,0.5,8000.0,0.5,0.9
414,fr,diff,5074.791836000048,0.6378110999939963,12345,4000.0,0.5,4000.0,0.5,0.9
415,fr,diff,5081.722071400029,0.6193086000275798,12345,4000.0,0.5,4000.0,0.5,0.9
416,fr,diff,5088.681635500048,0.618239099974744,12345,4000.0,0.5,4000.0,0.5,0.9
417,fr,diff,5095.571346800018,0.6293960000039078,12345,4000.0,0.5,8000.0,0.5,0.9
418,fr,diff,5098.514481500024,0.7128691999823786,12345,4000.0,0.5,8000.0,0.5,0.9
